,coef
sport,0.11304521437461278
want say,0.11322597807310095
hurt feeling,0.11324425461301586
english,0.113294175631223
there,0.11355662299182712
late,0.11385470915544059
anybody,0.11415232286437238
text,0.11421236451886853
stuck,0.11427826762578167
actually,0.11428817319283269
million,0.11443110237055755
personality,0.11451710226101695
silent,0.11458768725041484
check,0.11473658087396511
honest,0.11480757830253818
inside,0.11509738622263693
explain,0.11566837335095774
here,0.11572136824787495
assume,0.11611918863433288
ca,0.11621835565228868
ca nt,0.11634736472981552
root,0.11646706858300739
senior,0.11682202237805142
twitter,0.11683027817180854
drama,0.11686580677121504
last year,0.11690780013583495
right,0.11690893696933582
across,0.1169372009248604
cruel,0.11717116468228278
blue,0.11717882805973127
nt give,0.11736879358507989
otherwise,0.11737236214466193
time,0.11769610639094256
bear,0.11774039071005696
pray,0.1178632648815205
yesterday,0.11794152482485085
like do,0.11823777013124352
train,0.11879500378127332
stay home,0.11883110047002288
one,0.11896403659568779
thing life,0.11934502638907385
cure depression,0.11935459741365267
dinner,0.11964619626545066
usual,0.1204600895545133
do nt,0.1205277544814057
actual,0.12080517909459622
mum,0.12111042226522847
relax,0.12159353965778111
biology cope,0.12159768902289354
learn chemistry,0.12159768902289354
cope anxiety,0.12159768902289354
chemistry biology,0.12159768902289354
spread,0.12230895426448922
min,0.12233345719651116
game,0.12253374012722203
worry,0.12256927968932685
weather,0.12263654785385637
anywhere,0.12267893721963624
relationship,0.12274661656558357
throat,0.12286491674543008
travel,0.12300316904450226
remove,0.12327661119251448
nt make,0.1233372400873012
field,0.12337953969274587
shoulder,0.12340994446780192
forgot,0.1235956750261836
together,0.12364721581108758
ex,0.12380952715720277
want make,0.12384447239073967
nd,0.12385091428114266
woman,0.12399362617452957
cook,0.12419363367613658
note,0.12479644899489326
plus,0.12485091781343431
sister,0.12488045546902383
old,0.12488630274535038
still hurt,0.12509196188915486
loose,0.12530093598523953
kid,0.12534037686942298
worthless,0.12556729083213208
idiot,0.12570023074263065
day today,0.12621962742706025
order,0.12625148496640987
past,0.1266942270139225
many,0.12670376256240803
delete,0.12752321010794626
action,0.12776051329471544
come home,0.12786954917214902
fire,0.12812093964051877
other,0.1284281245529565
meeting,0.1285141761918575
yr,0.12854609967088662
nose,0.12886102576914485
one time,0.12917193846895256
making,0.12961640719852366
steal,0.12973771998430428
ll,0.12978166969413338
there s,0.1298132771680027
that s,0.12996968977886958
music,0.1304364881566934
soundtrack,0.13069319032043275
house,0.13073446863088
grow,0.13115357167040587
facebook,0.13134452723505616
lot people,0.13145527100244517
make life,0.13206863909729538
read,0.1321269514416957
manage,0.13227708589208412
long,0.13251635854181212
patient,0.1327166126681766
nt believe,0.13277409632432768
coffee,0.13294542927630495
who,0.1335994409367072
last week,0.13442953607905975
shout,0.1349048878670319
heart hurt,0.1353698414668231
lock,0.1357100014659203
notice,0.1358550239287837
crippling,0.13648675821507056
staff,0.13690194788896348
bottle,0.1369297447398134
nigga,0.13698174077429595
mind,0.13734543357250414
follower,0.13746525660224515
online,0.13751357418483479
depression real,0.13779462751385338
piece,0.137812682813702
stare,0.13805621144591615
get back,0.1381157537382763
anxious stress,0.13822741800607863
ai,0.138691558553975
depression ptsd,0.13906638115201825
decade,0.13927939393053923
disappear,0.13930573688289688
get hurt,0.13972819592752686
pls,0.13991641312949288
full,0.13993645849836384
go work,0.1399917223991057
cycle,0.14013347780321872
correct,0.14033848285913594
badly,0.14040791539064937
company,0.1405187333564754
asleep,0.14081875763071613
next year,0.14109373250875865
incredibly,0.14145501509309336
normal,0.14192512827983295
clean,0.14209338668841595
walk,0.14262389376995724
escape,0.1428657174322676
depression take,0.14297260233594097
image,0.14299393190445306
result,0.14321275955783377
time feel,0.14321609997354628
yrs,0.14347451297822766
jesus,0.14405444486479885
like shit,0.1440688335929844
extreme,0.14424910902916488
even get,0.14447523776964516
take break,0.14455668947744846
need,0.14509955633263458
much want,0.14521133426230737
take life,0.14527101243304286
la,0.14596304587217243
numb,0.14612081507571534
whole life,0.14644475090326317
must,0.14684980362485375
anxiety amp,0.1471773377470707
grade,0.14722930559662326
mistake,0.14730035478413092
info,0.14733340055483923
ok,0.14737973110183503
can,0.1476057966545429
today still,0.1476737918388101
cut,0.14773452872078827
can not,0.14777709520450116
not,0.14777709520450116
hop,0.1478152874196181
heal,0.14792186435875151
dress,0.14796392784502807
anxiety disorder,0.14846657001690272
apologize,0.14873171530066678
avoid,0.14946245430820204
fucking stress,0.14962816855804278
consider,0.149647357889865
m gon,0.1496694062631174
voice,0.14969369507520536
have,0.15059866131855723
have nt,0.15059866131855723
amp anxiety,0.15097285297709612
weird,0.1509837181112324
hip,0.15103585295855548
suffer mental,0.15112082488272452
several,0.15112247414511795
show,0.15133586903901924
youth,0.15136328620145495
morning,0.1516682274779361
message,0.1518352318387573
bad depression,0.1521504472211597
character,0.15217214827290204
land,0.15282077468842598
sob,0.15299626356786608
literally,0.15313020473822087
even though,0.1536059687049334
depression make,0.15393516918538253
movie,0.15420858446281144
cry much,0.15453961401812757
something,0.15483340261337855
afraid,0.15504404293605648
system,0.15512500923146852
stan,0.15534646192040033
really hard,0.15549689972381955
feel sick,0.15589006924468055
anxious depressed,0.15595396096538047
whenever,0.15637052650855732
damn really,0.15647540064820073
yet,0.15681653522757857
post,0.15685714648216803
day get,0.15708126363516084
energy,0.15731703407160696
come,0.1573410283257378
apparently,0.15741522345598025
weekend,0.15748111790094188
option,0.15762969112453684
crush,0.15787342708235172
stuff,0.15859291539792053
cry help,0.15989011681142673
paper,0.15999637515725304
throughout,0.16009452342363736
hungry,0.16011098851652944
college,0.1601653820782683
shift,0.160239015539677
behavior,0.16024806294288735
pm,0.16058034420277317
cause depression,0.1609869013351613
adult,0.16113491489592707
life like,0.16197845852985515
y,0.16264341988122388
y all,0.16264341988122388
training,0.16267834176237914
heavy,0.16294982534686164
community,0.16327024135235418
annoying,0.16338896287190424
son,0.1636716693934926
see,0.163905736189879
migraine,0.16515992403097768
man,0.16532956653629582
she,0.1655472625940342
she s,0.1655472625940342
dog,0.16573600818886755
doubt,0.1659165624204734
depression side,0.1659442945013492
scream cry,0.1659745097015114
space,0.16608881912583415
depression know,0.16647487730266997
trip,0.16694243954296542
bother,0.1670023288227007
really get,0.16760447571339623
ticket,0.16778388830571442
island depression,0.16786052688565517
card,0.16788309188571554
set,0.1680275036537251
bird,0.1686103348614964
he,0.16863733318360052
forget,0.16873553459310414
get go,0.16921216237993267
like island,0.16923739893240233
depression year,0.16948643277802491
medical,0.16970005367723545
series,0.1700318092923604
good thing,0.17106283705168082
advice,0.1714234997362563
stay bed,0.17232175509739558
go away,0.17259637047216878
trigger,0.17263704001699182
anxiety panic,0.17281072408934176
handle,0.17305607155611136
sex,0.17308289874181607
hurt bad,0.17350227998470957
finally,0.17365090224996174
away,0.1739296292248958
blood,0.1742336233854993
lay,0.1742931871719964
strange,0.17440327358877133
social medium,0.17462719950229577
everyday,0.17528990400698607
want stay,0.1753449097701378
lady,0.17535077825120876
wednesday,0.17554354309683307
generation,0.17622234738754944
attempt,0.17645105948240644
depressed feel,0.17746712842512755
taylor,0.17751114273162766
ocd,0.1778026011391428
know,0.17806560337345095
teach,0.17855240868543149
water,0.17857251586535094
soul,0.17865622813153978
function,0.17872442486682766
average,0.1789141592642156
discover,0.17900273763178295
double,0.17905932070268518
every day,0.1791921628063783
picture,0.17932222234087664
despite,0.1795499687029739
suffer ptsd,0.1801334576915268
stream,0.18118932712414965
medium,0.18143104837370652
smh,0.18169379869666277
people get,0.18188791766726
leg,0.18206826240594132
present,0.1821609303771156
customer,0.18228853990168517
cry bc,0.1825824138625728
every night,0.18269225425529437
impact,0.1829755512658046
go cry,0.18309776004082864
table,0.1835596337199698
block,0.1836252534768306
sit,0.18369604077374385
make depressed,0.18374782211625537
cancel,0.18448043772010153
much stress,0.18485572154069885
he s,0.18503793983634778
swing,0.18590563486345496
put,0.18681508286931997
confused,0.18812885032286358
na,0.18857771439480572
oh,0.18879082380990472
film,0.18880972686968595
cry want,0.18925387242639605
cry bad,0.18929351967466154
level,0.1900174373525336
meal,0.1904284902458666
channel,0.19050071593562665
town,0.1906749678502006
hurt depression,0.1907633456032297
really bad,0.19090732485307652
art,0.1910786544098268
sigh,0.1912475930668883
first time,0.19161947125985573
paint,0.19186539837215436
change,0.19198955152137212
exhausted,0.19210810868769443
rn,0.1927616967432343
forever,0.19302309485392316
cry i,0.19333993511986566
cry do,0.1933847801940202
report,0.1942879559852533
cup,0.19433056305217236
time want,0.1944158832184054
minute,0.1944556800833421
virus,0.19494898935234628
hopeless,0.19515224313407847
class,0.19547110148511404
time get,0.19588817979562556
miserable want,0.19605108083560527
leave,0.19653152646774893
stress sad,0.19746151794498001
pressure,0.1983508268240553
loneliness,0.19842948173667205
drug,0.19861681343557455
treatment,0.19883212059895722
guy,0.19897890018891765
multiple,0.19926344397641002
want know,0.19938654580985302
i ve,0.2002508747592739
already,0.2003879121832311
tv,0.20042265667654982
mentalhealth,0.2012264318102014
nt mean,0.2014064201115211
take,0.2014106259633241
ache,0.2015776285798491
app,0.2025468779320465
live,0.20290147760751026
bipolar disorder,0.203018572886587
realize,0.20310328135420025
performance,0.20384234645038693
nobody,0.20400972051504837
commit suicide,0.2046109279365189
shoot,0.20467108179790655
home,0.20482120034866708
fight,0.20501333296968055
complain,0.20509443464418792
think,0.20523715720034463
window,0.2054243501723406
depression hit,0.20559189832449293
everyone,0.20576297255824733
would,0.20587949979150924
tough,0.20650358167412988
may,0.20693034469193067
monster,0.20741877593957983
seem,0.2074531003845949
tea,0.20773866915267072
straight,0.20776354933891714
also,0.2078439668143545
nature,0.20798923983294748
within,0.2082196295296439
scene,0.20830898225325895
please help,0.20911931779955775
depressed do,0.20952782861535807
today go,0.2103034088055724
want scream,0.21080310806877545
brother,0.21132987517205698
aware,0.21138242484974012
it,0.21145893637610086
anxiety could,0.21193311048515762
overwhelmed,0.21201048421381177
towards,0.2121932627439858
living,0.21230561293991143
opinion,0.21289697519188
mix,0.21327817753582884
biology,0.21333710977888173
go school,0.21339608511278335
amp depression,0.21347461314048746
af,0.2135959402279398
even want,0.21365244615965678
it ll,0.21415106772214818
day want,0.21423379657317104
random,0.21439524312247704
tw,0.21463517316319322
joke,0.2146450175830521
everyone else,0.21488791146173475
upon,0.21500124908210816
deeply,0.21509642596155265
degree,0.21543517804587478
corner,0.2158854140765056
holy,0.21590571758746868
pound,0.21601419655178133
ai nt,0.21611261103174653
crap,0.2162176958263054
bunch,0.21658069816967965
single,0.2165891036149166
recent,0.21659798560724505
standard,0.21662969452189773
people,0.21690670392017497
screen,0.21714648053865185
gt,0.21758258792789095
entire life,0.2178328606376878
cry scream,0.21866344272061985
try hard,0.21887585440905394
get depression,0.21922244587636824
white,0.21944003199916948
someone,0.21954118589363633
breathe,0.21970979813474592
major,0.22079584741260674
instead,0.22090028424130423
folk,0.22117522141626858
deal,0.22136018795956383
release,0.221495221415298
daughter,0.2228733840382339
bring,0.22338049446839478
properly,0.22350854532114414
tooth,0.22372594386706363
cure,0.2238600274114919
educate,0.2239968173765047
let,0.2246711329819447
let go,0.22505939785409443
sad want,0.22528755762216177
frustration,0.22569676109176962
entire,0.22626099696649665
cry every,0.22639051869575247
snap,0.22643403553526123
face,0.22662404084518295
literally want,0.22713817728934285
crime,0.22721855173505567
hurt much,0.22741574051003077
direct,0.22747466080841236
constant,0.22765381271420787
arm,0.2276776053562095
sun,0.2287420010373793
depression severe,0.2290495296445615
year,0.23010008521908895
weak,0.23011753912314858
ton,0.2302422833765459
cuz,0.23063175589305732
pill,0.23068180823493656
shake,0.23071561442264552
panic attack,0.2312706856781606
you,0.23291645024699123
island,0.23320085240101326
choice,0.23395576053647363
society,0.2340374557447106
claim,0.23405195842917478
digital,0.23410060044156364
piss,0.23438427738282225
much,0.23536800386390982
dark,0.2365654346861393
ruin,0.23662662938477474
life go,0.2369148598171559
good day,0.2383466768051837
people suffer,0.23851631020409295
cause,0.23858521207168276
fix,0.23882705673539778
really,0.2391579986867895
ashamed,0.23943813180662046
kick,0.2401050046095839
curl ball,0.24022055429754277
feeling,0.24026542542976145
leave alone,0.24114593004977122
purpose,0.24208331682353568
imma,0.2425138696079605
stay,0.24273479593118794
night,0.24383321304801664
damn time,0.24423807200909414
three,0.24473749698625283
spend,0.24476487673307032
ball cry,0.24531658590253053
anyways,0.2458485879117873
medication,0.24600755825207168
talk,0.24633756693462677
even,0.2465637079130828
vent,0.24688531915818238
anything,0.24694498708758594
day go,0.24726741613238098
s,0.2472957512799467
try,0.24734741602482818
like want,0.2482225999302395
maybe,0.24839859645503792
collection,0.2485624038312906
amp,0.24885291887506722
stress work,0.2494046899132082
productive,0.24955724574006938
anxiety stress,0.24957302610545537
trash,0.2498477420294914
stressful,0.25032277667494984
lie bed,0.2503661457723253
childhood,0.2505248274510019
animal,0.2505921929513669
enough,0.25158901465242134
past month,0.2520825279862051
act,0.2529268589736498
failure,0.25295455796295885
useless,0.25298942577227507
teacher,0.2537869372672145
wife,0.25429018494796857
want lie,0.2544231020007953
stress anxious,0.25444213589379133
emotional,0.25444561700400325
shirt,0.25465759275571964
coworker,0.2548274401993667
want sit,0.2550365404434067
really sad,0.2553377014337904
skill,0.2553814063860226
head hurt,0.25552110226007946
hurt like,0.2556135131304583
week,0.2560237525713897
depressed cry,0.2567172187790489
situation,0.25685472858276376
fall,0.25697372910851857
fault,0.2570548871058676
summer,0.25714470765563674
university,0.2577498177121674
many people,0.2577843356313097
scary,0.2581348679509294
cash,0.2584870500059127
uni,0.25900057075686533
know damn,0.25983787623123256
office,0.26034411827941034
hole,0.26092015606259417
ruin life,0.26102757974568985
foot,0.26249649578499873
depression come,0.2629639118248692
cry get,0.2666901995390876
memory,0.2671579433754045
ever,0.2674329558351602
feel sorry,0.26801172913703286
ppl,0.2685397857065992
ignore,0.26959999206600127
say do,0.2698232478416824
drink,0.2698464690871718
open,0.270537112508918
tell,0.2710599549748396
dak,0.27111590667464996
also want,0.2713239869097253
surgery,0.2720697710671454
hair,0.27214382488712996
work today,0.2722757675948127
tomorrow,0.2722823081437426
na cry,0.272588140235219
often,0.2731355815924133
ur,0.27317121184651266
describe,0.27363555453200467
damn depression,0.27369753819710774
near,0.27384129676599234
general,0.2740888638297686
mental health,0.2741202913075479
makeup,0.27420072558603237
feel sad,0.27474010685014466
guilt,0.2753178256999144
year life,0.2753936053909055
exhaust,0.27656653377652196
wake,0.27706822838049205
legit,0.2774431613148614
damn well,0.277602826275838
gay,0.27777826557883045
lie,0.2778846852532677
mouth,0.2780779609547776
m,0.27854932584867026
blame,0.27920922960061423
daily,0.2793192558459381
i m,0.27968021924530834
yell,0.28001514474641037
victim,0.2809377786422407
america,0.28165199383302175
risk,0.28212858582966716
realise,0.28589015138311036
feel really,0.28595474076471455
guess,0.2878015508971833
skin,0.2879728731068507
race,0.28836679438224905
hit hard,0.2883944961933673
cos,0.28915673901617656
grief,0.2896319849086147
assignment,0.2898716154806381
career,0.2901418216686466
constantly,0.2901451007761557
try make,0.29044834071730147
lot,0.2905027219512548
never know,0.29083336698225626
exercise,0.29153099037970565
trauma,0.29173171363511774
dr,0.29192935562918687
seat,0.2924968254325782
alot,0.2929116779777948
body,0.2931560599807554
think hurt,0.29406139525750546
war,0.29430811262107726
sir,0.2949028735353927
head,0.29539999991592925
depression like,0.29581484025710403
response,0.29672545531337274
reason,0.2970145595705106
step,0.29744662521194043
absolute,0.2980200593137172
draw,0.2981452172462751
waste,0.29819612075344365
load,0.29828260869333806
genuinely,0.2984756838664925
med,0.2995966928251461
wanna cry,0.3001852484651292
abt,0.3005906310390923
become,0.3006230224082288
cold,0.30096102442282396
thought,0.3013715699210254
everything,0.3033193746048888
smile,0.3036857403066578
panic,0.30368838622016625
nt take,0.30377103532286037
shop,0.304493828410155
bro,0.3056436678982208
suppose,0.3060867305811569
event,0.30630162335070876
suffer anxiety,0.30684018189060497
nearly,0.3069225625469137
fall asleep,0.3069524443616076
feed,0.3072298035687231
know depression,0.3073710829964405
four,0.3077336126933403
want go,0.30881106057951097
stress level,0.3103160529729247
ignorant,0.3128952054916898
difficult,0.31439123100992755
student,0.31449832291118995
nt sleep,0.31469144857468606
gun,0.31623927179362954
hate see,0.31755311999158836
sad depressed,0.3177694487673581
either,0.31828923712472185
relate,0.3197904186437451
total,0.32044979071465546
seriously,0.3206208512692891
recently,0.3207924264613761
save life,0.3208738363707917
stick,0.32222997916933777
usually,0.32255495535239037
every damn,0.32312770540175845
complete,0.32381346486410284
nt anything,0.32492674667896815
quarantine,0.3249999979121819
totally,0.32529030323016994
adhd,0.3262189740806738
ill,0.3263277517771787
real life,0.32639244264058465
due,0.3267105342951014
stress make,0.32706562206339373
damn day,0.3273810813512496
study,0.329222111067882
lately,0.3305493322115696
young,0.3309876880056274
want curl,0.331146996835225
shame,0.33459820852644334
stop,0.3346718323608315
finger,0.3349448683535773
birthday,0.335545043583457
sleep cry,0.3357446486947748
culture,0.3358894521833154
therapy,0.3359825769208064
want stress,0.3365110088471212
dumb,0.3383292594307996
feel today,0.33878780518582524
want sleep,0.339551442730276
bill,0.34006909597352086
give damn,0.3403555205525593
week ago,0.34053216529409647
depression bad,0.34096494851164344
bank,0.3419859268452006
massive,0.3419885020147633
boyfriend,0.3426846958769083
deep,0.3428933401394144
ridiculous,0.34327178657757923
eat,0.344503706257772
sorry,0.3447134318073399
india,0.34559892962718514
broken,0.34583324540525656
nt want,0.3468301312616113
get really,0.3471729264668256
destroy,0.3477640745165032
feel depressed,0.3495122894952105
day feel,0.34960459724561627
make stress,0.34995868861610874
never,0.35020154048982277
stomach,0.35052919184863274
depression really,0.35064567404353975
crazy,0.3515357031213907
get,0.35208158098257325
dad,0.3533541327689981
express,0.35349781048899126
would absolutely,0.3537709651977152
annoy,0.3539839283307822
physically,0.35416550310214956
anyone,0.3542127981555818
thru,0.3547717084816434
still feel,0.3548665987533203
bc,0.3553167285831054
bout,0.35600936246699444
tf,0.35646096116527537
get well,0.35652231583930954
school,0.3565377422603495
evil,0.357422879382182
one person,0.35750007449755716
hard time,0.35751483953067
bed cry,0.35817700176709083
toxic,0.3582431136442346
work,0.35852363921416325
semester,0.3591679873136409
really depressed,0.3606010320348214
human,0.3616347961250862
rant,0.3620642304387875
nt feel,0.36288813005003
get bad,0.36424831893010134
concert,0.3643451831243394
left,0.364704799032646
nt even,0.3651775727288206
depression hurt,0.3651799131600948
hard,0.36529436917081437
get sick,0.36690719253424214
chill,0.3674290783229017
less,0.36770821724542074
nt,0.36815718172499173
defend,0.36906238970413247
barely,0.36918871186425894
listen,0.36954012743627984
really hurt,0.3702167969663528
sit cry,0.37140488334315364
drain,0.3722942609141988
like know,0.3723173562840762
severe anxiety,0.37241019014433274
make,0.3727803142159641
stage,0.37355327622448836
go life,0.3735699900125164
could,0.3737942961842907
busy,0.3738008495162835
people know,0.3751608669109951
you re,0.37607763194494365
hurt people,0.37690482486801125
kinda,0.3773617712894489
worried,0.37743145148753715
cry day,0.3775862367317388
nightmare,0.3781830254309054
hide,0.37904389916890735
depressed anxious,0.37950309631196105
month,0.3799962844028373
chronic,0.38024096806536195
well today,0.38043712201638
feel guilty,0.38081325102993296
see cry,0.38166780520028015
people like,0.3818264358676407
anymore,0.38193033275866245
deal depression,0.3825824599696096
idk,0.383037306716473
guide,0.3831193299241845
fear,0.38313700382519683
cry like,0.3831521836284977
wrong,0.38326769898917673
headache,0.38440284251778434
emotion,0.38442433157421646
frustrated,0.3844244516301877
go,0.385545935863872
really stress,0.3867019867144257
self harm,0.38776460140916
individual,0.3897270511423393
tiny,0.3929431764195162
mad,0.3938643121256543
scream,0.3953777517767103
bullshit,0.39684255376037336
sadness,0.39703442195361566
anger,0.397337382382512
emotionally,0.3979611960150295
etc,0.39928311347699974
re,0.40028052572874084
miss,0.40179908101202827
cry depress,0.40417948059328496
nothing,0.40440588735825833
clothe,0.4055669073411744
condition,0.40564876247717685
day,0.4057854237735281
cancer,0.4064368453117481
break,0.406761872931892
seasonal depression,0.40728314605458715
job,0.40735219454587734
m depressed,0.4105275749930254
crying,0.4106750819061849
completely,0.41190203820298754
make feel,0.4123503878189953
hot,0.41411543468621753
view,0.41436501495325606
deep depression,0.41641434220071644
make want,0.4168036082258949
racism,0.4182746277873452
appointment,0.41831431554657805
problem,0.41872053636799944
issue,0.41918918655649395
absolutely fucking,0.4195873522724282
death,0.4205623248476307
feel much,0.4229593198724264
life absolutely,0.42325488338633366
fucking hate,0.4243861641892222
feel well,0.42674527429921405
bitch,0.4267913957906039
parent,0.4269155080966024
weight,0.42773583743334415
wanna,0.42775250056705727
zero,0.4283266519404508
clinical,0.42871115743089266
could feel,0.4289418920885809
stress cry,0.4303009168241096
depression get,0.43089603464213977
nt care,0.4323862748740421
fake,0.43329808160770017
suffer depression,0.4333454472861637
dangerous,0.4340886585402154
keep go,0.43511557612856316
sleep,0.4352256038976124
tear,0.4355377359739531
heat,0.4356729735561016
since,0.43647621635988654
low,0.4366976543962859
scared,0.43850662273410446
skip,0.4400108828241731
attack,0.4411899116920659
nap,0.4412979808759903
mentally,0.4419632629453602
hate life,0.4443582451491787
quit,0.4457328661134315
dead,0.4493715656971754
exam,0.4500196199986119
i,0.4509882390667447
therapist,0.4510229405358045
regret,0.4516291046624075
mom,0.45204929307905717
depress want,0.45454070142714126
shitty,0.4554076737503325
feel stress,0.45595541770583226
admit,0.4580491349804392
husband,0.45833302911376644
go home,0.4631002560080773
shy,0.4660031363013155
wtf,0.4664923607492465
ugly,0.46729305651525693
negative,0.4680915977716302
damage,0.47104364718823466
high school,0.4717419649230739
curl,0.4721552540309249
refuse,0.47365625275033174
stupid,0.4753364356374819
illness,0.4760125560335318
poor,0.47621602766685794
miserable feel,0.47898786011430916
awful,0.48151355035809906
sometimes,0.4824758756348098
breakdown,0.4876935790932618
nt help,0.4881702464098602
anxiety depression,0.4887996390262052
shower,0.48905777017611207
absolutely disgusting,0.4908355545171137
depression anxiety,0.49245585626785066
battle depression,0.49339417057275875
freak,0.4947539262121262
self,0.4964701609099744
scare,0.49657808889230237
cope,0.5004257938336573
hate absolutely,0.5034050744483962
lose,0.5059053018588725
ptsd,0.506335995923692
fail,0.5076458797767843
absolutely reason,0.5089313559704038
depressed want,0.5097123970841464
bed,0.5117438889466343
clinical depression,0.5121011577784931
unable,0.513238302566905
loss,0.5185034205556184
painful,0.5186821783919365
depression do,0.5193928897952927
stress want,0.5195329687542888
want die,0.5199960824995306
kill,0.5229375352068282
miserable day,0.5231179845355517
cry stress,0.5277363901886218
diagnose,0.5304358394587347
alone,0.530859713184537
bipolar,0.5341971135767919
ass,0.54028812007715
hate people,0.543685188470586
guilty,0.5493403990646332
bully,0.5503524668870373
ugh,0.5504197313983554
harm,0.5542331042348594
mood,0.5576765763420808
terrible,0.5584328277905147
cry you,0.5654978353113148
like damn,0.5681467517565867
make cry,0.569500873787115
depressed mess,0.573274581370058
mess see,0.5755287063254859
get stress,0.5759613622108909
shy want,0.5778521997546924
battle,0.5885349741652429
abuse,0.5899280119261021
lonely,0.5946830411952388
mental illness,0.6061237944613103
m stress,0.6061348227966697
make miserable,0.6093851981272712
depressed stress,0.6107142872927878
horrible,0.6122142734947745
anxious,0.6232335643638421
stress depress,0.62460585488764
depress stress,0.625315317830543
today miserable,0.6301041279440753
depression amp,0.6314005568024741
upset,0.6408431255155513
racist,0.6455808442549892
god damn,0.648886815011454
struggle,0.6641300384144044
seasonal,0.6644328790867658
murder,0.6689402649459764
absolutely nothing,0.669601070244812
hell,0.6738034522342201
disgusting,0.6824639143218172
sick,0.6866355568520897
mess,0.6870077593292754
life hate,0.6943400699053796
shit,0.6995502386201891
symptom,0.6996958677347777
suicidal,0.7102364699962459
re depressed,0.7176022228313729
miserable today,0.7262674885567247
get depressed,0.7375877977438979
see you,0.737617691892078
suck,0.7495967629069946
die,0.753946615974964
fuck,0.7551695480932239
today feel,0.7701322907366006
tired,0.7827426566183642
disorder,0.7884741466155871
mental,0.8007819274007765
fucking,0.8800932578128395
pain,0.896332062197721
angry,0.9118172650206237
bad,1.0215071912104763
suicide,1.0372701065664216
want,1.0876276821557747
sad,1.1028877845714145
stress depressed,1.22422837836141
severe depression,1.2477650557074311
suffer severe,1.4331961142907164
anxiety,1.517095282127781
feel miserable,1.5208295363500957
today,1.5606830739562172
stressed,1.7057446699829861
feel,1.8264973018820523
life,1.8714646225802556
absolutely hate,1.9429989492966586
suffer,2.004284788972624
want cry,2.0734372376093186
severe,2.436321221978155
depress,4.665236459781472
damn,4.750938023396683
hurt,5.15615266709555
hate,5.7094459484391
absolutely,6.2086344911163005
cry,6.595150354964461
depressed,7.309262679493993
stress,8.24050525965496
miserable,9.092727276962185
depression,11.586894456946128
